keen.timestamp,keen.created_at,keen.id,Category,CategoryExpanded,CategoryWhere,Collections,Copyright,Dimensions,Filename,Format,MediaIrn,Object,ObjectIrn,Size,TransactionID
2015-01-21T14:39:21.617Z,2015-01-21T14:39:21.617Z,54bfba1990e4bd3a1c7b8a49,Other,[redacted],,Photography,No known copyright restrictions,3000 x 2009,MA_I065125.6588x4411.jpg,JPEG,62106,&quot;Cleopatra&quot; in Domain Cricket Ground,538276,5.01 MB,e754-bc89-45f2-2177-0246
2014-07-10T01:17:28.191Z,2014-07-10T01:17:28.191Z,53bde9a833e4060492b80e6f,Research,[redacted],,Photography,No known copyright restrictions,4678 x 3438,MA_I246149.4678x3438.jpg,JPEG,244917,"Princes Street, Dunedin in 1861",192985,3.95 MB,1c3a-a141-eb30-838b-9e4a
2014-07-10T01:19:02.272Z,2014-07-10T01:19:02.272Z,53bdea0607271972e2ed9d49,Research,[redacted],,Photography,No known copyright restrictions,4678 x 3438,MA_I246149.4678x3438.jpg,JPEG,244917,"Princes Street, Dunedin in 1861",192985,3.95 MB,6d4e-9032-3c91-b292-c3d9
2014-07-10T01:19:51.436Z,2014-07-10T01:19:51.436Z,53bdea37ce5e435d83dc9cc7,Research,[redacted],,Photography,No known copyright restrictions,4678 x 3438,MA_I246149.4678x3438.jpg,JPEG,244917,"Princes Street, Dunedin in 1861",192985,3.95 MB,2d10-852f-9f1e-b65e-a7d4
2014-07-10T01:20:33.629Z,2014-07-10T01:20:33.629Z,53bdea6100111c4b0c21f74d,Research,[redacted],,Photography,No known copyright restrictions,4678 x 3438,MA_I246149.4678x3438.jpg,JPEG,244917,"Princes Street, Dunedin in 1861",192985,3.95 MB,54f7-89a3-7ce4-118c-4fe5
2014-07-10T01:20:37.825Z,2014-07-10T01:20:37.825Z,53bdea65d97b856770ed72c4,Research,[redacted],,Photography,No known copyright restrictions,4678 x 3438,MA_I246149.4678x3438.jpg,JPEG,244917,"Princes Street, Dunedin in 1861",192985,3.95 MB,7842-3700-1517-c91c-02aa
2014-10-29T07:18:30.434Z,2014-10-29T07:18:30.434Z,545094c67d8cb97a2c8b826a,Other,"A boat. This one, in fact. Not a scale model, though: full-size.",,Pacific Cultures,Creative Commons BY-NC-ND,5436 x 4080,MA_I067895.5436x4080.jpg,JPEG,64856,Model pahi (sailing canoe from Tuamotu),747347,3.09 MB,9a5c-31af-1623-bc75-1aab
2014-10-29T07:18:36.663Z,2014-10-29T07:18:36.663Z,545094cce861704bd692b88d,Other,"A boat. This one, in fact. Not a scale model, though: full-size.",,Pacific Cultures,Creative Commons BY-NC-ND,5436 x 4080,MA_I067893.5436x4080.jpg,JPEG,64854,Model pahi (sailing canoe from Tuamotu),747347,3.51 MB,097e-a1dc-20a2-62ba-303f
2014-06-04T19:38:26.317Z,2014-06-04T19:38:26.317Z,538f75b236bf5a0ff5cf44dd,Research,a class project,,Photography,No known copyright restrictions,640 x 486,MA_I028508.649x493.jpg,JPEG,24729,Girls College Nelson,22991,0.05 MB,2537-9286-b926-da40-a5df
2015-02-22T21:22:05.290Z,2015-02-22T21:22:05.290Z,54ea487de085570998a3f29e,Print,A direct descendant from Henry and Elizabeth  Collett,,Photography,No known copyright restrictions,9464 x 7975,MA_I061890.9464x7975.jpg,JPEG,59025,"Collett’s Farm, Petone",127515,16.11 MB,cd45-3dff-960b-8bc8-e937
2014-06-26T22:09:15.399Z,2014-06-26T22:09:15.399Z,53ac9a0b00111c6eed6f50f0,Research,A molecular phylogenetic study of Isolepis.,,Plants,Creative Commons BY-NC-ND,1597 x 2400,MA_I034649.2400x2400.jpg,JPEG,32001,"Angiosperms, Isolepis aucklandica Hook.f.; isolectotype of Isolepis subcucullata Berggr.",701283,2.00 MB,bc12-5c15-eb65-4df1-a0f3
2014-06-23T13:39:34.231Z,2014-06-23T13:39:34.231Z,53a82e1605cd662c63c81973,Other,A newsletter publication,,Art,No known copyright restrictions,2400 x 1871,MA_I056219.jpg,JPEG,53489,The birds,152789,0.99 MB,2e2e-f09b-fe47-f9be-d0bf
2014-09-24T21:17:03.982Z,2014-09-24T21:17:03.982Z,542334cf36bca4055c287381,Other,A poster in the Library,,History,No known copyright restrictions,4616 x 6731,MA_I221618.4616x6731.jpg,JPEG,220141,"Poster, ’The Empire Needs Men!’",1020691,11.37 MB,a14b-00bd-df96-520a-1a21
2014-08-12T06:51:48.850Z,2014-08-12T06:51:48.850Z,53e9b984c9e163024ef3a900,School,A presentation on Alfred Burton's colonial photography,,Photography,No known copyright restrictions,640 x 488,MA_I016283.640x640.jpg,JPEG,8443,"[Milford Sound, Mitre Peak]",22760,0.16 MB,1e76-45c7-a9e5-f639-49f7
2015-03-10T18:09:31.911Z,2015-03-10T18:09:31.911Z,54ff335be08557474a2b67d2,Personal,A relative sailed on this ship from Sydney to San Francisco in 1909,,Photography,No known copyright restrictions,7999 x 6159,MA_I310529.7999x6159.jpg,JPEG,310589,N.Z.S. Co.s &quot;Aorangi&quot; in dock at Lyttleton,19130,11.03 MB,ccdc-32de-7ab5-877c-7e51
2015-03-26T22:41:17.611Z,2015-03-26T22:41:17.611Z,55148b0d46f9a71448f49744,Personal,A relative who emigrated from Cheshire to New Zealand,,Photography,No known copyright restrictions,3436 x 4658,MA_I261269.3436x4658.jpg,JPEG,260207,"Portrait of Arthur Gamon, Amy Gamon and their daughter Kathleen Gamon",363997,9.15 MB,1e76-9e1d-0cda-9bec-2b5f
2015-03-01T15:22:39.474Z,2015-03-01T15:22:39.474Z,54f32ebf96773d64c650764b,Blog,A site on living and fossil Olividae and Olivellidae,[redacted],Molluscs,Creative Commons BY-NC-ND,1800 x 2400,MA_I051934.2400x2400.jpg,JPEG,49233,"Amalda electa (Marwick, 1929); holotype; holotype of Baryspira electa Marwick, 1929",150674,0.97 MB,512c-f563-98de-a6e6-c4e2
2014-09-07T06:38:28.673Z,2014-09-07T06:38:28.673Z,540bfd647d8cb929cdc3d8c4,Research,A thesis on The History of the Rural Kitchen,,Photography,No known copyright restrictions,640 x 468,MA_I012791.655x479.jpg,JPEG,3769,"[Washing the dishes, Cheslyn Rise farm]",111470,0.03 MB,3add-9cb0-3f19-0329-a321
2014-08-12T05:36:41.270Z,2014-08-12T05:36:41.270Z,53e9a7e900111c3b59d5511b,Other,ACC WW1 Heritage Trail Panel on Queen Street,,History,No known copyright restrictions,3979 x 4761,MA_I221756.3979x4761.jpg,JPEG,220250,"Poster, ’Why More Men Are Needed’",1142190,2.97 MB,c33b-901f-429c-1d28-c207
2015-03-18T23:06:28.067Z,2015-03-18T23:06:28.067Z,550a04f4c1e0ab047157d884,School,"Actually just testing to see what resolution this is, and whether it's in RGB...",,Photography,No known copyright restrictions,9517 x 7919,MA_I061917.9517x7919.jpg,JPEG,59053,"Pakuratahi [Pukuratahi], looking toward Wellington, Wellington and Masterton Road, NZ",127859,16.15 MB,290e-1385-36b7-a0e2-f586
2015-03-25T17:49:42.047Z,2015-03-25T17:49:42.047Z,5512f5362fd4b13e102af854,Blog,Adding to Online Cenotaph,[redacted],Archives - Collected,No known copyright restrictions,2726 x 4420,MA_I213867.2726x4420.jpg,JPEG,212266,Major E.P. Cox,1053848,3.56 MB,2c6c-b684-90f0-1956-8ed4
2015-03-12T02:13:11.171Z,2015-03-12T02:13:11.171Z,5500f637c2266c0bce1ceef7,Blog,"Always looking for digital content to share with our fans and members. We want to make sure we are following usage guidelines, so it's important to know how/where images can be used. The Te Papa collection does a great job with that -- I wish there were more NZ-related collections like this.",[redacted],Photography,No known copyright restrictions,5194 x 3444,MA_I250638.5194x3444.jpg,JPEG,249403,"Rangitoto, Auckland",424228,3.98 MB,c5ae-73c5-ded2-5357-8f08
2014-08-14T06:25:25.096Z,2014-08-14T06:25:25.096Z,53ec5655d97b8529f476305b,Personal,Always looking for new Thames businesses,,Photography,No known copyright restrictions,6100 x 4766,MA_I209544.6100x4766.jpg,JPEG,207890,View of the Hape Creek. From the album: Views of the Thames Gold Fields; American Photographic Company,830334,5.39 MB,ef15-5038-97cd-1e70-1ee3
2014-08-14T06:30:15.339Z,2014-08-14T06:30:15.339Z,53ec57773831444639933871,Personal,Always looking for new Thames businesses,,Photography,No known copyright restrictions,6100 x 4766,MA_I209544.6100x4766.jpg,JPEG,207890,View of the Hape Creek. From the album: Views of the Thames Gold Fields; American Photographic Company,830334,5.39 MB,cc87-aacc-32da-50b8-c71f
2015-03-10T05:49:17.660Z,2015-03-10T05:49:17.660Z,54fe85dd96773d31b19ab420,Blog,Am planning on downloading to subsequently upload into Wikipedia as part of my contribution to #artandfeminism Wikipedia Editathon,[redacted],Art,No known copyright restrictions,2400 x 1672,MA_I081837.jpg,JPEG,77947,Roses (white),40797,6.73 MB,33b6-fce5-569f-f7e5-3a3a
2014-06-12T04:29:04.156Z,2014-06-12T04:29:04.156Z,53992c9005cd662ed123b5c6,Print,"Amazing to have these images available for use. History, general interest, beautiful images. Great",,Photography,No known copyright restrictions,3000 x 2009,MA_I065125.3000x3000.jpg,JPEG,62106,&quot;Cleopatra&quot; in Domain Cricket Ground,538276,5.01 MB,3076-3536-30f9-ac2f-5476
2014-08-12T00:35:26.983Z,2014-08-12T00:35:26.983Z,53e9614e36bca40bc810db4f,Book,An article for Art New Zealand,,Art,Creative Commons BY-NC-ND,2715 x 2493,MA_I222905.jpg,JPEG,221404,"Counting the catch, St. Ives",36027,1.70 MB,b934-0931-861c-7f3e-e4d9
2014-08-12T00:40:08.575Z,2014-08-12T00:40:08.575Z,53e96268e8759626465f8824,Book,An article in Art New Zealand,,Art,No known copyright restrictions,5206 x 6440,MA_I214587.5206x6440.jpg,JPEG,212991,Carnglaze St.,41444,8.27 MB,fb1f-0991-3482-70d6-06e8
2014-06-05T01:00:05.330Z,2014-06-05T01:00:05.330Z,538fc115d97b8503fee46864,Blog,An example of a public domain image,[redacted],Art,No known copyright restrictions,2400 x 1741,MA_I064764.jpg,JPEG,61748,North Island brown kiwi (Apteryx mantelli),159923,1.16 MB,71d6-23ea-4a7b-2f2e-7d64
2015-03-17T12:48:15.551Z,2015-03-17T12:48:15.551Z,5508228f90e4bd5575367155,not-selected,Anazc Display in Qatar,,History,No known copyright restrictions,4841 x 7129,MA_I221768.4841x7129.jpg,JPEG,220228,"Poster, ’The &quot;Spirit of ANZAC&quot; Calls You’",780935,5.20 MB,b96b-2595-1709-6635-6f1c
